time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, ndob_f.x, ndob_f.y, ndob_f.z, r_thr, r_psi
1780348390.222380400, 4.00059795, 3.99876473, 0.00220025059, 0.0119042228, -0.0253618923, 0.0344720126, 0.151522454, -0.345966685, 0.326824906, 0.175891591, 0.0737335087, -1.09352634, 0.0324379637, 0.018299473, -0.100654729, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0166757739, 0.0111827887, -0.215575006, -0.00191688901, -0.00124947747, 0.00849819708, 0, 0, 0, 3.10622848e-05, -0.000139425673, 0.00135215691, 4.60499643, -0.215575006
1780348390.224379063, 4.00062206, 3.99871331, 0.00226985039, 0.0122084192, -0.026057587, 0.0351281906, 0.152652516, -0.349683057, 0.328459813, 0.171695187, 0.0712939081, -1.10191415, 0.0327452447, 0.0185159715, -0.102844704, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0166757739, 0.0111827887, -0.215575006, -0.00187764518, -0.00123607658, 0.00863059978, 0, 0, 0, 3.10622848e-05, -0.000139425673, 0.00135215691, 4.60499643, -0.215575006
1780348390.226383448, 4.00064678, 3.9986605, 0.00234076579, 0.0125148267, -0.0267606266, 0.0357875875, 0.153733703, -0.353311623, 0.330061606, 0.167458792, 0.0688217574, -1.1098612, 0.0330433164, 0.0187287605, -0.105051112, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0166757739, 0.0111827887, -0.215575006, -0.00183781408, -0.00122208489, 0.00875892232, 0, 0, 0, 3.10622848e-05, -0.000139425673, 0.00135215691, 4.60499643, -0.215575006
1780348390.228381395, 4.00067212, 3.99860627, 0.00241300313, 0.0128233474, -0.0274708342, 0.0364501383, 0.154765774, -0.356851304, 0.331631138, 0.163185438, 0.0663190719, -1.11737206, 0.0333321197, 0.0189377374, -0.107273083, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0163792049, 0.0112669497, -0.215575006, -0.00328626093, -0.000785008852, 0.00888319211, 0, 0, 0, 6.31152469e-05, -0.000227526402, 0.00146226063, 4.5968309, -0.215575006
1780348390.230381250, 4.00069808, 3.99855061, 0.00248656823, 0.0131338744, -0.028188012, 0.0371152374, 0.155743044, -0.360288148, 0.332808423, 0.158854127, 0.0637946818, -1.12445131, 0.0336115902, 0.0191428058, -0.109509755, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0163792049, 0.0112669497, -0.215575006, -0.00176262169, -0.00119064245, 0.00900343653, 0, 0, 0, 6.31152469e-05, -0.000227526402, 0.00146226063, 4.5968309, -0.215575006
1780348390.232379675, 4.00072466, 3.99849351, 0.00256146584, 0.0134463069, -0.0289119715, 0.0377826545, 0.156671436, -0.363632874, 0.333962329, 0.154420726, 0.061264096, -1.1311036, 0.0338815628, 0.019343903, -0.111760276, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0163792049, 0.0112669497, -0.215575006, -0.00172109445, -0.00117498622, 0.00911968061, 0, 0, 0, 6.31152469e-05, -0.000227526402, 0.00146226063, 4.5968309, -0.215575006
1780348390.234379530, 4.00075186, 3.99843496, 0.00263770057, 0.0137605473, -0.0296425267, 0.0384523438, 0.157551095, -0.366884041, 0.33509353, 0.149960914, 0.0587087284, -1.13733359, 0.0341419411, 0.0195409515, -0.114023802, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0163792049, 0.0112669497, -0.215575006, -0.00167857243, -0.00115894209, 0.00923194995, 0, 0, 0, 6.31152469e-05, -0.000227526402, 0.00146226063, 4.5968309, -0.215575006
1780348390.236379147, 4.0007797, 3.99837493, 0.00271527691, 0.0140764981, -0.0303794898, 0.0391242609, 0.158381975, -0.370040862, 0.336202666, 0.145477631, 0.0561305395, -1.14314599, 0.0343926956, 0.0197338602, -0.116299499, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0163792049, 0.0112669497, -0.215575006, -0.00163563459, -0.00114236876, 0.00934027866, 0, 0, 0, 6.31152469e-05, -0.000227526402, 0.00146226063, 4.5968309, -0.215575006
1780348390.238379478, 4.00080817, 3.99831343, 0.00279419927, 0.0143940618, -0.0311226713, 0.0397983623, 0.159164071, -0.373102609, 0.337290363, 0.140973822, 0.0535314654, -1.14854552, 0.0346338036, 0.0199225408, -0.118586543, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0160624835, 0.0113441969, -0.215575006, -0.00318231536, -0.000737482055, 0.0094446967, 0, 0, 0, 0.000101820788, -0.000334391461, 0.00156833966, 4.58837646, -0.215575006
1780348390.240386248, 4.00083728, 3.99825044, 0.00287447152, 0.0147131319, -0.0318718596, 0.0404740449, 0.159891582, -0.37605465, 0.337983664, 0.136426763, 0.050919694, -1.15353698, 0.0348652359, 0.0201069116, -0.120884118, 4.00115405, 3.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0160624835, 0.0113441969, -0.215575006, -0.00155515607, -0.00110609429, 0.00954523396, 0, 0, 0, 0.000101820788, -0.000334391461, 0.00156833966, 4.58837646, -0.215575006
