timestamp, ref_x, ref_y, ref_z, ref_vel_x, ref_vel_y, ref_vel_z, ref_acc_x, ref_acc_y, ref_acc_z, ref_quat_x, ref_quat_y, ref_quat_z, ref_quat_w
1741942372.551136353, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.553135906, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.555131592, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.557130782, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.559133161, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.561137316, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.563135169, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.565133544, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.567133549, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.569134355, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.571133442, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.573133394, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.575133379, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.577134346, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.579132820, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.581133208, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.583133299, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 0, 0, 0, 1
1741942372.585133477, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.587133947, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.589130575, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.591130297, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.593131212, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.595130909, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.597130691, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.599132381, 5.39287e-15, -1.36478e-14, 4.33177e-15, 2.30454e-17, 1.00232e-16, 1.13294e-15, 1.52099e-16, 1.24437e-15, 2.09479e-16, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.601134491, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
